LineId,Content,EventId,EventTemplate
1,PacketResponder 1 for block blk_38865049064139660 terminating,E10,PacketResponder <*> for block <*> terminating
2,PacketResponder 0 for block blk_-6952295868487656571 terminating,E10,PacketResponder <*> for block <*> terminating
3,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.73.220:50010 is added to blk_7128370237687728475 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>
4,PacketResponder 2 for block blk_8229193803249955061 terminating,E10,PacketResponder <*> for block <*> terminating
5,PacketResponder 2 for block blk_-6670958622368987959 terminating,E10,PacketResponder <*> for block <*> terminating
6,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.115:50010 is added to blk_3050920587428079149 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>
7,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.203.80:50010 is added to blk_7888946331804732825 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>
8,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.85:50010 is added to blk_2377150260128098806 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>
9,PacketResponder 2 for block blk_572492839287299681 terminating,E10,PacketResponder <*> for block <*> terminating
10,Received block blk_3587508140051953248 of size 67108864 from /10.251.42.84,E11,Received block <*> of size <*> from <*>
11,Received block blk_5402003568334525940 of size 67108864 from /10.251.214.112,E11,Received block <*> of size <*> from <*>
12,Receiving block blk_5792489080791696128 src: /10.251.30.6:33145 dest: /10.251.30.6:50010,E13,Receiving block <*> src: <*>:<*> dest: <*>:<*>
13,Receiving block blk_1724757848743533110 src: /10.251.111.130:49851 dest: /10.251.111.130:50010,E13,Receiving block <*> src: <*>:<*> dest: <*>:<*>
14,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.8:50010 is added to blk_8015913224713045110 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>
15,Receiving block blk_-5623176793330377570 src: /10.251.75.228:53725 dest: /10.251.75.228:50010,E13,Receiving block <*> src: <*>:<*> dest: <*>:<*>
16,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590. blk_-1727475099218615100,E7,BLOCK* NameSystem.allocateBlock: <*> <*>
17,PacketResponder 1 for block blk_5017373558217225674 terminating,E10,PacketResponder <*> for block <*> terminating
18,Received block blk_9212264480425680329 of size 67108864 from /10.251.123.1,E11,Received block <*> of size <*> from <*>
19,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000742_0/part-00742. blk_-7878121102358435702,E7,BLOCK* NameSystem.allocateBlock: <*> <*>
20,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.130:50010 is added to blk_4568434182693165548 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>
21,Received block blk_-5704899712662113150 of size 67108864 from /10.251.91.229,E11,Received block <*> of size <*> from <*>
22,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.79:50010 is added to blk_-4794867979917102672 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>
