# Figge-Fencl v3.0 validation data from Figge, Rossing, Fencl (1991), Table A
# Columns: sample_num, pH_measured, SID_mEq_L, PCO2_Torr, Pi_mmol_L, Albumin_g_dL
01,7.388,49.8,39.3,1.1,7.2
02,7.383,45.4,40.0,1.0,7.0
03,7.521,45.4,26.1,1.0,7.0
04,7.389,45.4,38.1,1.0,7.0
05,7.217,45.4,62.9,1.0,7.0
06,7.315,32.2,23.4,1.2,6.6
07,7.194,32.2,35.0,1.2,6.6
08,6.979,32.2,68.6,1.2,6.6
09,7.819,71.3,28.9,1.1,6.8
10,7.716,71.3,37.7,1.1,6.8
11,7.504,71.3,65.4,1.1,6.8
12,7.850,70.2,26.4,1.0,6.8
13,7.719,70.2,37.9,1.0,6.8
14,7.513,70.2,65.3,1.0,6.8
15,7.447,45.9,30.8,1.0,7.1
16,7.375,45.9,38.4,1.0,7.1
17,7.094,45.9,85.0,1.0,7.1
18,7.935,70.2,22.5,1.0,6.8
19,7.716,70.2,40.2,1.0,6.8
20,7.423,70.2,83.5,1.0,6.8
21,7.746,45.8,22.1,1.0,3.5
22,7.518,45.8,39.9,1.0,3.5
23,7.218,45.8,85.9,1.0,3.5
24,7.446,24.2,21.9,0.9,3.4
25,7.226,24.2,39.8,0.9,3.4
26,7.018,24.2,69.7,0.9,3.4
27,7.676,63.7,40.2,1.0,3.6
28,7.369,63.7,86.7,1.0,3.6
29,7.711,75.5,38.6,1.0,6.7
30,7.702,76.4,38.2,1.0,7.3
31,7.630,65.9,37.9,1.0,7.3
32,7.572,60.2,35.1,0.7,7.6
33,7.718,58.9,41.0,1.0,1.7
34,7.510,58.9,67.9,1.0,1.7
35,7.399,58.9,88.0,1.0,1.7
36,7.684,70.4,38.2,1.0,7.0
37,7.477,70.4,65.4,1.0,7.0
38,7.390,70.4,85.7,1.0,7.0
39,7.551,53.5,38.7,1.0,6.2
40,7.348,53.5,68.4,1.0,6.2
41,7.240,53.5,86.3,1.0,6.2
42,7.598,51.2,41.2,0.9,1.9
43,7.378,51.2,69.8,0.9,1.9
44,7.307,51.2,87.7,0.9,1.9
45,7.320,32.5,22.5,1.0,8.0
46,7.144,32.5,38.9,1.0,8.0
47,7.006,32.5,59.2,1.0,8.0
48,7.416,28.5,22.7,1.0,2.9
49,7.213,28.5,40.3,1.0,2.9
50,7.068,28.5,58.6,1.0,2.9
51,7.460,22.8,23.1,1.0,1.6
52,7.246,22.8,40.2,1.0,1.6
53,7.083,22.8,60.6,1.0,1.6
54,7.125,23.7,22.6,1.0,5.7
55,6.968,23.7,40.0,1.0,5.7
56,6.849,23.7,58.0,1.0,5.7
57,7.254,21.4,23.0,1.0,3.5
58,7.051,21.4,40.7,1.0,3.5
59,6.924,21.4,58.3,1.0,3.5
60,7.654,67.5,39.7,1.0,7.2
61,7.508,67.5,56.9,1.0,7.2
62,7.347,67.5,87.0,1.0,7.2
63,7.706,62.5,40.1,1.0,3.8
64,7.561,62.5,57.5,1.0,3.8
65,7.386,62.5,91.2,1.0,3.8
